user_id,wallet,bank,fines,coins,diamonds,paypal,t1,t2,t3,t4
1,0,34499640,0,0,0,0,0,0,0,0
2,100,16565910,0,40,0,0,0,0,3,0
4,0,70916,0,0,0,0,0,0,0,0
5,0,289641421,0,0,0,404010,0,0,0,0
6,200,4021901,0,0,0,0,0,0,0,0
7,0,15308289,0,0,0,0,0,1,0,0
8,0,2025818,0,0,0,12000000,0,0,0,2
9,0,126911584,0,0,0,0,1,0,0,0
10,0,35145525,0,0,0,3600000,0,0,1,0
11,0,2841420,0,0,0,0,0,0,0,0
12,0,1441000,0,0,0,164842097,1,1,0,0
13,0,22863794,0,0,0,0,0,0,1,0
14,0,4975694,0,0,0,0,0,0,0,0
15,0,1617800,0,0,0,0,1,0,0,0
16,0,778633,0,0,0,0,1,0,0,0
18,0,779966,0,0,0,0,0,0,0,0
19,0,7182677,0,0,0,0,0,1,0,0
20,0,7504391,0,0,0,0,0,0,0,0
21,0,1663109,0,0,0,5000,0,0,0,0
22,0,438917,0,0,0,0,0,0,0,0
25,0,5604200,0,0,0,0,0,0,0,0
28,0,4866015,0,0,0,0,1,0,0,0
30,0,51114052,0,0,0,0,1,0,0,0
36,0,4753326,0,0,0,0,2,1,0,0
69,0,9640169,0,0,0,0,1,0,0,0
71,0,41319,0,0,0,1800000,0,0,0,0
112,0,21227180,0,0,0,0,0,0,0,0
140,0,7370169,0,0,0,0,0,0,0,0
157,0,6699688,0,0,0,0,0,0,0,0
171,0,463020,0,0,0,0,0,0,0,0
777,0,16322130,0,0,0,0,0,0,0,0
907,0,842976,0,0,0,400000,0,0,0,0
1001,0,98552,0,0,0,0,0,0,0,0
1002,5000,10000,0,0,0,0,0,0,0,0
1003,0,11887633,0,0,0,10000,0,1,0,0
1004,689000,456058,0,0,0,1000000,0,0,0,0
1005,0,971805,0,0,0,1000,0,0,0,0
1007,0,1432349,0,0,0,0,0,0,0,0
1010,0,29100,0,0,0,0,0,0,0,0
1011,0,842074,0,0,0,0,0,0,0,0
1012,0,28310,0,0,0,766062,1,0,0,0
1014,0,2800,0,0,0,0,0,0,0,0
