user_id,wallet,bank,paypal
1,0,34499640,0
2,100,16565910,0
4,0,70916,0
5,0,289641421,404010
6,200,4021901,0
7,0,15308289,0
8,0,2025818,12000000
9,0,126911584,0
10,0,35145525,3600000
11,0,2841420,0
12,0,1441000,164842097
13,0,22863794,0
14,0,4975694,0
15,0,1617800,0
16,0,778633,0
18,0,779966,0
19,0,7182677,0
20,0,7504391,0
21,0,1663109,5000
22,0,438917,0
25,0,5604200,0
28,0,4866015,0
30,0,51114052,0
36,0,4753326,0
69,0,9640169,0
71,0,41319,1800000
112,0,21227180,0
140,0,7370169,0
157,0,6699688,0
171,0,463020,0
777,0,16322130,0
907,0,842976,400000
1001,0,98552,0
1003,0,11887633,10000
1004,689000,456058,1000000
1005,0,971805,1000
1007,0,1432349,0
1010,0,29100,0
1011,0,842074,0
1012,0,28310,766062
1014,0,2800,0
1015,245300,2426734,0
1016,0,2297216,0
1017,0,1331610,0
1018,0,5642271,0
1019,0,7570939,0
1021,0,6300,0
1022,0,790960,0
1023,0,51000,0
1024,0,7280,0
1025,600,654810,0
1026,0,1513100,0
1028,0,59446,0
1030,0,6104388,0
1031,0,43900,0
1033,0,134421,0
1036,0,1246252,600000
1037,1466,219414,47000000
1038,0,24622495,1800000
1039,5000,60000,0
1040,0,1652774,0
1042,0,76933,0
1043,0,261834,0
1044,0,94549,0
1046,0,1781857,7000000
1047,0,100001,0
1049,0,3999,0
1050,200,128340,315040
1051,0,8712620,0
1052,0,3291406,0
1053,0,2007413,0
1054,0,1813590,0
1056,0,423738,0
1057,0,411467,0
1058,16144,1551767,0
1059,0,3854032,0
1060,0,3888623,0
1061,0,46774,0
1062,0,2601248,0
1064,0,90797,0
1065,5000,60000,0
1066,0,38263,0
1067,0,79082,0
1068,0,5643395,0
1069,0,2410208,0
1070,0,45708,0
1073,0,1175132,0
1075,0,118195,0
1076,0,3107278,0
1077,0,1763132,0
1078,0,5700,0
1079,3200,60000,0
1080,0,497638,0
1082,0,63299,0
1083,0,106200,0
1084,5000,0,0
1085,400,2000,0
1086,0,2099937,0
1087,0,256550,0
1088,0,6993508,0
1089,0,11629868,0
1090,0,180524,0
1092,0,8400,0
1093,0,440,0
1094,0,59964,200000
1095,0,4851947,0
1096,0,47300,0
1099,0,195510,0
1101,0,242170,0
1102,0,9200,0
1103,0,44200,0
1106,0,3351689,0
1107,0,5257077,0
1108,0,5018283,0
1109,0,8900,0
1110,1212,11888,0
1113,0,10582523,0
1114,0,17497817,124053000
1115,0,735175,0
1118,0,2108678,0
1119,0,203626,0
1120,0,199924,0
1121,0,179442,0
1122,0,75999,0
1123,0,621210,0
1125,0,665,0
1126,0,8300,0
